Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
2.53067, 8.43485
3.205417, 9.981515, 431.000000, 321.000000, 7.000000, 0.000000
2.304107, 6.042469, 408.000000, 334.000000, 7.000000, 0.000000
2.178676, 9.283080, 430.000000, 301.000000, 7.000000, 0.000000
2.431411, 5.491431, 389.000000, 336.000000, 7.000000, 0.000000
2.951935, 6.102320, 417.000000, 277.000000, 7.000000, 0.000000
2.212092, 5.972666, 422.000000, 329.000000, 7.000000, 0.000000
2.404336, 7.792347, 413.000000, 326.000000, 7.000000, 0.000000
2.275443, 4.725954, 401.000000, 316.000000, 7.000000, 0.000000
4.515882, 8.267655, 405.000000, 310.000000, 7.000000, 0.000000
