Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
102.599, 86.3386
177.973969, 89.039085, 88.934891, 157.000000, 135.000000, 7.490204, 12.502185
203.663269, 122.407486, 81.255775, 159.000000, 138.000000, 7.414119, 12.337462
203.975128, 130.675095, 73.300026, 154.000000, 132.000000, 7.476607, 11.584865
185.921799, 97.556442, 88.365356, 162.000000, 126.000000, 7.745685, 11.939576
198.474731, 108.041801, 90.432922, 163.000000, 128.000000, 7.700176, 11.530386
191.641769, 100.542007, 91.099762, 173.000000, 146.000000, 7.744029, 11.823414
182.952911, 86.171211, 96.781700, 175.000000, 147.000000, 7.826125, 12.389118
185.712585, 95.256989, 90.455597, 175.000000, 149.000000, 7.793507, 12.339747
167.819778, 99.455696, 68.364082, 175.000000, 148.000000, 7.848458, 13.170021
