Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
97.4605, 1.08384
88.900986, 87.453720, 1.447264, 157.000000, 137.000000, 7.490204, 12.502185
88.131592, 86.348396, 1.783193, 159.000000, 133.000000, 7.414119, 12.337462
107.669235, 106.222183, 1.447053, 154.000000, 130.000000, 7.476607, 11.584865
101.309090, 99.645966, 1.663121, 162.000000, 130.000000, 7.745685, 11.939576
108.521530, 106.404114, 2.117419, 163.000000, 134.000000, 7.700176, 11.530386
99.647476, 98.191147, 1.456328, 173.000000, 146.000000, 7.744029, 11.823414
111.273529, 109.922127, 1.351405, 175.000000, 150.000000, 7.826125, 12.389118
110.443993, 109.107437, 1.336559, 175.000000, 147.000000, 7.793507, 12.339747
118.379494, 115.129349, 3.250142, 175.000000, 150.000000, 7.848458, 13.170021
