Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
105.339, 1.94936
93.053810, 90.982224, 2.071585, 157.000000, 134.000000, 7.490204, 12.502185
81.220970, 79.060829, 2.160138, 159.000000, 124.000000, 7.414119, 12.337462
84.872955, 83.122879, 1.750073, 154.000000, 129.000000, 7.476607, 11.584865
78.566162, 76.754433, 1.811728, 162.000000, 128.000000, 7.745685, 11.939576
78.865326, 77.061523, 1.803806, 163.000000, 130.000000, 7.700176, 11.530386
72.760536, 70.771301, 1.989236, 173.000000, 132.000000, 7.744029, 11.823414
77.587906, 75.677292, 1.910612, 175.000000, 142.000000, 7.826125, 12.389118
77.333603, 75.404106, 1.929499, 175.000000, 144.000000, 7.793507, 12.339747
79.297256, 77.407448, 1.889812, 175.000000, 141.000000, 7.848458, 13.170021
