Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
91.7234, 40.6475
120.349594, 83.493851, 36.855743, 157.000000, 123.000000, 7.490204, 12.502185
150.192169, 105.646324, 44.545837, 159.000000, 128.000000, 7.414119, 12.337462
123.177109, 86.678932, 36.498173, 154.000000, 128.000000, 7.476607, 11.584865
129.914169, 87.351410, 42.562756, 162.000000, 121.000000, 7.745685, 11.939576
126.340027, 88.147682, 38.192341, 163.000000, 122.000000, 7.700176, 11.530386
122.676392, 85.127640, 37.548756, 173.000000, 133.000000, 7.744029, 11.823414
130.343842, 89.233681, 41.110161, 175.000000, 144.000000, 7.826125, 12.389118
158.635986, 119.914566, 38.721413, 175.000000, 145.000000, 7.793507, 12.339747
141.271973, 99.382187, 41.889778, 175.000000, 135.000000, 7.848458, 13.170021
