Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
102.875, 4.0709
96.201164, 92.584572, 3.616595, 157.000000, 128.000000, 7.490204, 12.502185
98.381424, 93.170731, 5.210694, 159.000000, 128.000000, 7.414119, 12.337462
107.588997, 103.595909, 3.993088, 154.000000, 126.000000, 7.476607, 11.584865
101.652855, 96.325325, 5.327533, 162.000000, 118.000000, 7.745685, 11.939576
96.267387, 91.136757, 5.130627, 163.000000, 129.000000, 7.700176, 11.530386
97.416809, 92.301796, 5.115013, 173.000000, 131.000000, 7.744029, 11.823414
88.066895, 83.858711, 4.208184, 175.000000, 136.000000, 7.826125, 12.389118
89.668419, 82.254463, 7.413958, 175.000000, 136.000000, 7.793507, 12.339747
102.683678, 97.022430, 5.661246, 175.000000, 143.000000, 7.848458, 13.170021
