Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
80.334, 27.7901
143.100784, 110.088554, 33.012230, 157.000000, 132.000000, 7.490204, 12.502185
162.497147, 130.880386, 31.616766, 159.000000, 134.000000, 7.414119, 12.337462
142.306870, 103.523491, 38.783375, 154.000000, 129.000000, 7.476607, 11.584865
151.795044, 116.383949, 35.411087, 162.000000, 136.000000, 7.745685, 11.939576
125.052551, 94.601280, 30.451273, 163.000000, 136.000000, 7.700176, 11.530386
120.092278, 89.163513, 30.928762, 173.000000, 147.000000, 7.744029, 11.823414
119.525429, 92.014671, 27.510759, 175.000000, 147.000000, 7.826125, 12.389118
110.622292, 80.011246, 30.611046, 175.000000, 153.000000, 7.793507, 12.339747
123.803238, 92.611061, 31.192179, 175.000000, 149.000000, 7.848458, 13.170021
