Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
56.3595, 2.07189
38.046104, 36.842884, 1.203222, 274.000000, 174.000000, 21.946225, 215.585637
37.708771, 36.465046, 1.243724, 276.000000, 195.000000, 21.842327, 194.103174
38.931679, 37.316372, 1.615305, 275.000000, 182.000000, 20.413384, 160.558597
38.338287, 36.359760, 1.978529, 293.000000, 177.000000, 22.779747, 223.754968
38.784889, 37.512417, 1.272472, 275.000000, 182.000000, 23.013115, 253.527900
37.812092, 36.271187, 1.540905, 289.000000, 193.000000, 21.807560, 216.012567
37.413471, 36.180279, 1.233192, 268.000000, 208.000000, 22.278760, 229.070436
38.371399, 37.150154, 1.221246, 260.000000, 186.000000, 22.706462, 234.088287
38.826580, 37.493683, 1.332898, 250.000000, 179.000000, 22.216733, 217.370764
