Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
41.507, 3.76174
53.381504, 48.414429, 4.967077, 274.000000, 168.000000, 21.946225, 215.585637
43.277012, 40.201450, 3.075561, 276.000000, 169.000000, 21.842327, 194.103174
40.767879, 37.901600, 2.866279, 275.000000, 157.000000, 20.413384, 160.558597
39.046806, 35.982697, 3.064110, 293.000000, 170.000000, 22.779747, 223.754968
41.586311, 38.684410, 2.901901, 275.000000, 171.000000, 23.013115, 253.527900
44.616394, 41.537025, 3.079367, 289.000000, 186.000000, 21.807560, 216.012567
43.169830, 39.512798, 3.657030, 268.000000, 174.000000, 22.278760, 229.070436
51.761726, 49.026505, 2.735221, 260.000000, 168.000000, 22.706462, 234.088287
40.641991, 37.494743, 3.147248, 250.000000, 182.000000, 22.216733, 217.370764
