Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
39.5147, 49.1007
77.761589, 36.743259, 41.018330, 274.000000, 154.000000, 21.946225, 215.585637
78.287186, 36.944073, 41.343113, 276.000000, 173.000000, 21.842327, 194.103174
78.430389, 36.965378, 41.465012, 275.000000, 153.000000, 20.413384, 160.558597
76.946701, 36.871056, 40.075645, 293.000000, 168.000000, 22.779747, 223.754968
85.853378, 42.079605, 43.773769, 275.000000, 158.000000, 23.013115, 253.527900
80.557053, 35.998623, 44.558434, 289.000000, 181.000000, 21.807560, 216.012567
74.515259, 35.692436, 38.822823, 268.000000, 169.000000, 22.278760, 229.070436
74.729202, 36.284985, 38.444214, 260.000000, 175.000000, 22.706462, 234.088287
74.664810, 35.736393, 38.928421, 250.000000, 165.000000, 22.216733, 217.370764
