Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
36.2861, 7.69909
44.159126, 37.593613, 6.565512, 274.000000, 155.000000, 21.946225, 215.585637
42.993938, 36.710011, 6.283928, 276.000000, 167.000000, 21.842327, 194.103174
42.409145, 37.186909, 5.222235, 275.000000, 155.000000, 20.413384, 160.558597
42.665047, 37.340542, 5.324506, 293.000000, 161.000000, 22.779747, 223.754968
42.465847, 35.865128, 6.600720, 275.000000, 156.000000, 23.013115, 253.527900
43.536888, 37.163738, 6.373150, 289.000000, 181.000000, 21.807560, 216.012567
42.926876, 35.665943, 7.260933, 268.000000, 165.000000, 22.278760, 229.070436
53.681667, 47.318123, 6.363545, 260.000000, 170.000000, 22.706462, 234.088287
44.826183, 38.587460, 6.238725, 250.000000, 170.000000, 22.216733, 217.370764
