Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
36.0588, 54.3821
79.206100, 37.355766, 41.850338, 274.000000, 177.000000, 21.946225, 215.585637
78.157318, 36.196327, 41.960995, 276.000000, 187.000000, 21.842327, 194.103174
106.824615, 49.959991, 56.864620, 275.000000, 171.000000, 20.413384, 160.558597
92.399918, 43.927586, 48.472332, 293.000000, 177.000000, 22.779747, 223.754968
77.919373, 35.690331, 42.229042, 275.000000, 168.000000, 23.013115, 253.527900
83.999207, 38.800838, 45.198372, 289.000000, 190.000000, 21.807560, 216.012567
78.184189, 35.314499, 42.869694, 268.000000, 193.000000, 22.278760, 229.070436
79.534744, 35.614525, 43.920216, 260.000000, 173.000000, 22.706462, 234.088287
78.307747, 36.111748, 42.195999, 250.000000, 181.000000, 22.216733, 217.370764
