Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
2.3545, 1.70465
4.121098, 2.285119, 1.835979, 431.000000, 321.000000, 7.000000, 0.000000
5.971424, 2.488920, 3.482504, 408.000000, 334.000000, 7.000000, 0.000000
4.463675, 1.896434, 2.567241, 430.000000, 301.000000, 7.000000, 0.000000
5.321567, 2.379051, 2.942516, 389.000000, 336.000000, 7.000000, 0.000000
5.634931, 2.904905, 2.730026, 417.000000, 277.000000, 7.000000, 0.000000
4.414877, 2.339095, 2.075782, 422.000000, 329.000000, 7.000000, 0.000000
4.080817, 2.559166, 1.521651, 413.000000, 326.000000, 7.000000, 0.000000
4.113191, 2.320271, 1.792920, 401.000000, 316.000000, 7.000000, 0.000000
3.930305, 2.295261, 1.635044, 405.000000, 310.000000, 7.000000, 0.000000
