Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
2.96325, 4.03078
6.942841, 2.418808, 4.524033, 431.000000, 257.000000, 7.000000, 0.000000
6.819455, 2.787985, 4.031470, 408.000000, 244.000000, 7.000000, 0.000000
6.393859, 2.203793, 4.190066, 430.000000, 247.000000, 7.000000, 0.000000
7.205651, 3.125263, 4.080388, 389.000000, 243.000000, 7.000000, 0.000000
6.308276, 2.257961, 4.050315, 417.000000, 216.000000, 7.000000, 0.000000
7.206602, 3.144820, 4.061782, 422.000000, 253.000000, 7.000000, 0.000000
6.429992, 2.487666, 3.942326, 413.000000, 251.000000, 7.000000, 0.000000
7.099164, 3.226560, 3.872604, 401.000000, 247.000000, 7.000000, 0.000000
6.052434, 2.127649, 3.924785, 405.000000, 251.000000, 7.000000, 0.000000
