Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
2.16491, 44.7979
40.155094, 1.867952, 38.287144, 431.000000, 252.000000, 7.000000, 0.000000
40.517433, 2.590169, 37.927265, 408.000000, 250.000000, 7.000000, 0.000000
40.886703, 2.247071, 38.639633, 430.000000, 240.000000, 7.000000, 0.000000
39.913517, 2.263335, 37.650181, 389.000000, 258.000000, 7.000000, 0.000000
42.290977, 2.478384, 39.812592, 417.000000, 231.000000, 7.000000, 0.000000
50.003147, 2.913661, 47.089485, 422.000000, 268.000000, 7.000000, 0.000000
40.923138, 3.029159, 37.893978, 413.000000, 248.000000, 7.000000, 0.000000
42.383850, 2.360426, 40.023422, 401.000000, 256.000000, 7.000000, 0.000000
44.926514, 2.686204, 42.240311, 405.000000, 251.000000, 7.000000, 0.000000
