Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
2.32916, 1.66791
5.204430, 2.876135, 2.328295, 431.000000, 308.000000, 7.000000, 0.000000
3.742388, 2.226025, 1.516363, 408.000000, 311.000000, 7.000000, 0.000000
3.966219, 2.425827, 1.540392, 430.000000, 301.000000, 7.000000, 0.000000
5.154430, 2.758868, 2.395562, 389.000000, 323.000000, 7.000000, 0.000000
3.888304, 2.276333, 1.611971, 417.000000, 281.000000, 7.000000, 0.000000
5.565655, 3.304931, 2.260724, 422.000000, 316.000000, 7.000000, 0.000000
5.712566, 2.655584, 3.056982, 413.000000, 323.000000, 7.000000, 0.000000
3.652814, 2.212149, 1.440665, 401.000000, 306.000000, 7.000000, 0.000000
5.486073, 3.463242, 2.022831, 405.000000, 315.000000, 7.000000, 0.000000
