Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
2.20735, 32.7226
45.038177, 2.885841, 42.152336, 431.000000, 315.000000, 7.000000, 0.000000
34.519505, 3.132764, 31.386742, 408.000000, 326.000000, 7.000000, 0.000000
41.280876, 2.648526, 38.632351, 430.000000, 301.000000, 7.000000, 0.000000
33.191181, 1.819854, 31.371328, 389.000000, 316.000000, 7.000000, 0.000000
41.112621, 2.853643, 38.258980, 417.000000, 294.000000, 7.000000, 0.000000
47.261059, 2.581933, 44.679127, 422.000000, 328.000000, 7.000000, 0.000000
50.156857, 2.767936, 47.388920, 413.000000, 319.000000, 7.000000, 0.000000
47.013275, 3.471989, 43.541286, 401.000000, 304.000000, 7.000000, 0.000000
41.336269, 2.965397, 38.370872, 405.000000, 302.000000, 7.000000, 0.000000
