Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
14.1344, 0.398752
14.673435, 14.436846, 0.236589, 14.000000, 14.000000, 6.000000, 0.000000
18.234840, 17.694086, 0.540754, 18.000000, 11.000000, 6.000000, 0.000000
16.611479, 16.119291, 0.492187, 21.000000, 15.000000, 6.000000, 0.000000
16.754631, 16.225000, 0.529630, 26.000000, 20.000000, 6.000000, 0.000000
27.376585, 26.772837, 0.603749, 43.000000, 24.000000, 6.000000, 0.000000
14.855778, 14.407779, 0.447999, 18.000000, 26.000000, 6.000000, 0.000000
17.615423, 17.152685, 0.462738, 31.000000, 16.000000, 6.000000, 0.000000
15.827860, 15.324708, 0.503152, 26.000000, 24.000000, 6.000000, 0.000000
19.102476, 18.564972, 0.537504, 34.000000, 23.000000, 6.000000, 0.000000
