Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
15.5046, 0.779135
17.247440, 16.754782, 0.492658, 14.000000, 12.000000, 6.000000, 0.000000
14.318920, 13.784376, 0.534544, 18.000000, 10.000000, 6.000000, 0.000000
16.155258, 15.601692, 0.553566, 21.000000, 14.000000, 6.000000, 0.000000
15.832143, 15.255578, 0.576565, 26.000000, 15.000000, 6.000000, 0.000000
25.947010, 25.136562, 0.810448, 43.000000, 16.000000, 6.000000, 0.000000
15.485082, 14.924982, 0.560100, 18.000000, 16.000000, 6.000000, 0.000000
17.526846, 16.909620, 0.617225, 31.000000, 15.000000, 6.000000, 0.000000
15.961333, 15.361064, 0.600269, 26.000000, 23.000000, 6.000000, 0.000000
19.057100, 18.405972, 0.651128, 34.000000, 21.000000, 6.000000, 0.000000
