Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
13.0062, 36.1853
66.747124, 16.628736, 50.118385, 14.000000, 13.000000, 6.000000, 0.000000
55.299534, 17.611385, 37.688148, 18.000000, 13.000000, 6.000000, 0.000000
60.961590, 19.735371, 41.226219, 21.000000, 15.000000, 6.000000, 0.000000
55.010910, 17.676270, 37.334641, 26.000000, 15.000000, 6.000000, 0.000000
63.485130, 26.902700, 36.582428, 43.000000, 17.000000, 6.000000, 0.000000
63.234825, 17.746553, 45.488274, 18.000000, 20.000000, 6.000000, 0.000000
64.153473, 20.680691, 43.472786, 31.000000, 12.000000, 6.000000, 0.000000
52.616283, 17.523468, 35.092815, 26.000000, 21.000000, 6.000000, 0.000000
59.706596, 19.376856, 40.329739, 34.000000, 18.000000, 6.000000, 0.000000
