Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
14.9271, 0.99365
16.364050, 15.308390, 1.055660, 14.000000, 12.000000, 6.000000, 0.000000
18.391943, 16.813253, 1.578689, 18.000000, 12.000000, 6.000000, 0.000000
20.705835, 19.054644, 1.651192, 21.000000, 15.000000, 6.000000, 0.000000
15.852686, 14.762439, 1.090247, 26.000000, 18.000000, 6.000000, 0.000000
25.167009, 24.144175, 1.022834, 43.000000, 24.000000, 6.000000, 0.000000
15.246203, 14.216670, 1.029533, 18.000000, 20.000000, 6.000000, 0.000000
17.428659, 16.379421, 1.049239, 31.000000, 15.000000, 6.000000, 0.000000
19.595402, 18.365004, 1.230399, 26.000000, 24.000000, 6.000000, 0.000000
20.960178, 19.538954, 1.421225, 34.000000, 22.000000, 6.000000, 0.000000
