Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
15.7003, 16.508
30.910837, 15.295670, 15.615168, 14.000000, 14.000000, 6.000000, 0.000000
29.767109, 15.168359, 14.598750, 18.000000, 11.000000, 6.000000, 0.000000
29.601082, 13.976526, 15.624556, 21.000000, 16.000000, 6.000000, 0.000000
34.789165, 15.283880, 19.505285, 26.000000, 19.000000, 6.000000, 0.000000
41.386272, 26.082993, 15.303280, 43.000000, 22.000000, 6.000000, 0.000000
30.380791, 13.273109, 17.107681, 18.000000, 22.000000, 6.000000, 0.000000
40.414703, 19.898520, 20.516182, 31.000000, 13.000000, 6.000000, 0.000000
38.734219, 19.772537, 18.961681, 26.000000, 24.000000, 6.000000, 0.000000
46.203918, 25.351015, 20.852901, 34.000000, 22.000000, 6.000000, 0.000000
