Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
8.83852, 0.615202
10.007586, 9.441240, 0.566346, 102.000000, 49.000000, 57.227267, 687.327777
9.553493, 8.721176, 0.832316, 106.000000, 43.000000, 56.494820, 678.510435
11.235204, 10.283375, 0.951829, 113.000000, 45.000000, 55.143634, 635.407400
10.416575, 9.525624, 0.890951, 109.000000, 59.000000, 56.744225, 631.442055
12.004965, 11.018562, 0.986403, 124.000000, 53.000000, 56.575097, 606.021279
9.318148, 8.595463, 0.722685, 129.000000, 76.000000, 56.610410, 653.229130
11.221851, 10.386511, 0.835340, 127.000000, 67.000000, 55.273361, 622.635775
10.526354, 9.874007, 0.652347, 124.000000, 83.000000, 54.508958, 654.684641
8.973317, 8.227485, 0.745832, 125.000000, 65.000000, 54.408252, 578.348058
