Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
113.237, 2.07226
10.038454, 8.635818, 1.402636, 102.000000, 73.000000, 57.227267, 687.327777
11.887646, 10.504559, 1.383087, 106.000000, 74.000000, 56.494820, 678.510435
10.939048, 9.537534, 1.401514, 113.000000, 79.000000, 55.143634, 635.407400
9.920683, 8.577309, 1.343374, 109.000000, 85.000000, 56.744225, 631.442055
10.245338, 8.639926, 1.605413, 124.000000, 79.000000, 56.575097, 606.021279
10.532043, 8.576745, 1.955298, 129.000000, 90.000000, 56.610410, 653.229130
10.847737, 9.266293, 1.581445, 127.000000, 88.000000, 55.273361, 622.635775
10.962350, 9.445049, 1.517301, 124.000000, 86.000000, 54.508958, 654.684641
11.318339, 9.392463, 1.925877, 125.000000, 90.000000, 54.408252, 578.348058
