Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
12.8897, 45.4626
55.605835, 10.786531, 44.819302, 102.000000, 41.000000, 57.227267, 687.327777
51.964367, 9.684873, 42.279495, 106.000000, 36.000000, 56.494820, 678.510435
57.009140, 9.703165, 47.305973, 113.000000, 44.000000, 55.143634, 635.407400
51.042877, 8.748932, 42.293945, 109.000000, 47.000000, 56.744225, 631.442055
54.665863, 10.077543, 44.588318, 124.000000, 44.000000, 56.575097, 606.021279
54.222916, 8.383426, 45.839489, 129.000000, 51.000000, 56.610410, 653.229130
48.747746, 8.828331, 39.919415, 127.000000, 52.000000, 55.273361, 622.635775
56.511780, 10.969984, 45.541794, 124.000000, 47.000000, 54.508958, 654.684641
61.135414, 10.313083, 50.822330, 125.000000, 54.000000, 54.408252, 578.348058
