Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
8.1383, 6.12547
16.050564, 9.639983, 6.410581, 102.000000, 67.000000, 57.227267, 687.327777
17.516338, 10.672448, 6.843891, 106.000000, 70.000000, 56.494820, 678.510435
15.388691, 9.112700, 6.275990, 113.000000, 72.000000, 55.143634, 635.407400
14.566790, 8.956520, 5.610269, 109.000000, 84.000000, 56.744225, 631.442055
17.448570, 10.461849, 6.986720, 124.000000, 91.000000, 56.575097, 606.021279
19.975142, 11.750819, 8.224322, 129.000000, 99.000000, 56.610410, 653.229130
18.320896, 11.530843, 6.790053, 127.000000, 91.000000, 55.273361, 622.635775
15.176941, 8.938099, 6.238842, 124.000000, 91.000000, 54.508958, 654.684641
14.760864, 8.700573, 6.060291, 125.000000, 90.000000, 54.408252, 578.348058
