Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
10.3782, 67.6535
88.284378, 11.863277, 76.421104, 102.000000, 66.000000, 57.227267, 687.327777
71.434151, 10.429925, 61.004223, 106.000000, 79.000000, 56.494820, 678.510435
73.410049, 10.805805, 62.604248, 113.000000, 78.000000, 55.143634, 635.407400
81.969437, 8.797944, 73.171494, 109.000000, 79.000000, 56.744225, 631.442055
100.384598, 17.549599, 82.834999, 124.000000, 82.000000, 56.575097, 606.021279
88.448051, 14.074699, 74.373352, 129.000000, 93.000000, 56.610410, 653.229130
79.375381, 8.165091, 71.210289, 127.000000, 94.000000, 55.273361, 622.635775
80.989517, 9.328636, 71.660881, 124.000000, 93.000000, 54.508958, 654.684641
81.368629, 11.207963, 70.160667, 125.000000, 92.000000, 54.408252, 578.348058
