Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
17.7049, 1.29446
20.695616, 18.714458, 1.981157, 120.000000, 118.000000, 4.000000, 0.000000
19.815977, 19.083223, 0.732754, 123.000000, 111.000000, 4.000000, 0.000000
17.843424, 17.169586, 0.673837, 120.000000, 104.000000, 4.000000, 0.000000
16.102829, 14.991899, 1.110930, 120.000000, 101.000000, 4.000000, 0.000000
16.163406, 14.964649, 1.198758, 115.000000, 104.000000, 4.000000, 0.000000
16.564829, 15.803352, 0.761476, 114.000000, 102.000000, 4.000000, 0.000000
16.487326, 15.786283, 0.701044, 125.000000, 101.000000, 4.000000, 0.000000
15.898116, 14.981135, 0.916981, 112.000000, 110.000000, 4.000000, 0.000000
13.829303, 13.108423, 0.720880, 113.000000, 102.000000, 4.000000, 0.000000
