Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
19.2946, 2.02785
19.010962, 17.573584, 1.437378, 120.000000, 97.000000, 4.000000, 0.000000
15.969275, 14.521292, 1.447983, 123.000000, 88.000000, 4.000000, 0.000000
19.194719, 17.264599, 1.930120, 120.000000, 80.000000, 4.000000, 0.000000
20.890108, 19.005100, 1.885008, 120.000000, 90.000000, 4.000000, 0.000000
19.150850, 17.783216, 1.367634, 115.000000, 82.000000, 4.000000, 0.000000
16.030561, 14.654468, 1.376094, 114.000000, 79.000000, 4.000000, 0.000000
18.857235, 17.427713, 1.429521, 125.000000, 86.000000, 4.000000, 0.000000
19.950586, 17.270348, 2.680239, 112.000000, 86.000000, 4.000000, 0.000000
23.476105, 21.466671, 2.009434, 113.000000, 83.000000, 4.000000, 0.000000
