Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
16.571, 52.6898
62.769112, 17.900637, 44.868477, 120.000000, 87.000000, 4.000000, 0.000000
51.240211, 16.295721, 34.944489, 123.000000, 90.000000, 4.000000, 0.000000
49.478828, 13.005168, 36.473660, 120.000000, 86.000000, 4.000000, 0.000000
50.300518, 13.460113, 36.840405, 120.000000, 88.000000, 4.000000, 0.000000
55.301353, 16.922930, 38.378426, 115.000000, 87.000000, 4.000000, 0.000000
67.710564, 18.131128, 49.579433, 114.000000, 80.000000, 4.000000, 0.000000
54.268589, 16.017181, 38.251408, 125.000000, 81.000000, 4.000000, 0.000000
49.992905, 15.153818, 34.839088, 112.000000, 86.000000, 4.000000, 0.000000
49.406631, 14.402397, 35.004234, 113.000000, 86.000000, 4.000000, 0.000000
