Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
20.5063, 1.36299
23.192078, 21.354069, 1.838009, 120.000000, 108.000000, 4.000000, 0.000000
22.787144, 20.734217, 2.052926, 123.000000, 102.000000, 4.000000, 0.000000
19.850515, 18.712399, 1.138116, 120.000000, 99.000000, 4.000000, 0.000000
19.819796, 18.404705, 1.415091, 120.000000, 102.000000, 4.000000, 0.000000
18.776180, 17.699982, 1.076199, 115.000000, 105.000000, 4.000000, 0.000000
19.500080, 18.323624, 1.176457, 114.000000, 98.000000, 4.000000, 0.000000
15.995896, 14.806222, 1.189674, 125.000000, 99.000000, 4.000000, 0.000000
18.092739, 17.008354, 1.084385, 112.000000, 105.000000, 4.000000, 0.000000
19.686819, 18.585899, 1.100920, 113.000000, 99.000000, 4.000000, 0.000000
