Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
14.9741, 18.296
33.050491, 15.020688, 18.029802, 120.000000, 115.000000, 4.000000, 0.000000
33.641895, 15.316017, 18.325878, 123.000000, 109.000000, 4.000000, 0.000000
32.786686, 15.823871, 16.962814, 120.000000, 104.000000, 4.000000, 0.000000
33.071487, 14.504937, 18.566551, 120.000000, 103.000000, 4.000000, 0.000000
32.314564, 14.880106, 17.434458, 115.000000, 101.000000, 4.000000, 0.000000
30.871798, 13.572180, 17.299618, 114.000000, 101.000000, 4.000000, 0.000000
35.422806, 13.960489, 21.462318, 125.000000, 97.000000, 4.000000, 0.000000
41.543625, 16.652996, 24.890629, 112.000000, 107.000000, 4.000000, 0.000000
36.225197, 16.727476, 19.497719, 113.000000, 99.000000, 4.000000, 0.000000
