Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
107.934, 0.762214
124.128433, 123.338516, 0.789914, 131.000000, 86.000000, 5.090220, 38.692353
135.457611, 134.604340, 0.853266, 121.000000, 76.000000, 4.962482, 37.369993
110.510597, 109.521507, 0.989091, 136.000000, 73.000000, 4.724497, 27.883764
122.038857, 120.879364, 1.159494, 134.000000, 84.000000, 4.719592, 30.593757
136.820328, 135.536591, 1.283739, 139.000000, 69.000000, 4.651312, 31.398068
120.117355, 118.815987, 1.301366, 136.000000, 75.000000, 5.427450, 43.009248
115.587631, 114.057655, 1.529977, 147.000000, 76.000000, 4.634627, 26.793524
124.023262, 123.049759, 0.973505, 156.000000, 69.000000, 5.577168, 45.462959
117.872475, 116.762794, 1.109681, 135.000000, 87.000000, 5.670806, 45.493254
