Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
130.894, 1.62401
125.504944, 124.016205, 1.488742, 131.000000, 63.000000, 5.090220, 38.692353
102.593597, 101.192329, 1.401267, 121.000000, 64.000000, 4.962482, 37.369993
105.278755, 103.731262, 1.547493, 136.000000, 61.000000, 4.724497, 27.883764
101.929077, 100.153862, 1.775218, 134.000000, 66.000000, 4.719592, 30.593757
92.009651, 90.363960, 1.645693, 139.000000, 59.000000, 4.651312, 31.398068
93.370857, 91.772972, 1.597884, 136.000000, 65.000000, 5.427450, 43.009248
93.225670, 91.330734, 1.894938, 147.000000, 64.000000, 4.634627, 26.793524
91.601006, 89.867752, 1.733256, 156.000000, 67.000000, 5.577168, 45.462959
88.963570, 87.410591, 1.552978, 135.000000, 79.000000, 5.670806, 45.493254
