Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
128.607, 36.8267
194.478455, 128.500504, 65.977943, 131.000000, 64.000000, 5.090220, 38.692353
203.461990, 154.929337, 48.532658, 121.000000, 70.000000, 4.962482, 37.369993
164.346756, 117.741798, 46.604961, 136.000000, 63.000000, 4.724497, 27.883764
131.462997, 93.670883, 37.792118, 134.000000, 66.000000, 4.719592, 30.593757
156.493881, 117.735771, 38.758110, 139.000000, 59.000000, 4.651312, 31.398068
157.053009, 115.976578, 41.076424, 136.000000, 60.000000, 5.427450, 43.009248
180.175323, 127.151855, 53.023460, 147.000000, 64.000000, 4.634627, 26.793524
154.618713, 115.636642, 38.982075, 156.000000, 65.000000, 5.577168, 45.462959
149.727707, 109.843643, 39.884068, 135.000000, 79.000000, 5.670806, 45.493254
