Total time [ms], Det [ms], Descr [ms], num kp [#], num matched kp [#], mean neigh size [px], var neigh size [px]
116.495, 88.2339
219.451065, 125.725029, 93.726036, 131.000000, 81.000000, 5.090220, 38.692353
175.250702, 90.889961, 84.360748, 121.000000, 79.000000, 4.962482, 37.369993
213.091827, 110.311958, 102.779869, 136.000000, 84.000000, 4.724497, 27.883764
192.818329, 119.098251, 73.720078, 134.000000, 93.000000, 4.719592, 30.593757
177.358307, 91.801102, 85.557198, 139.000000, 90.000000, 4.651312, 31.398068
205.366943, 111.225037, 94.141907, 136.000000, 82.000000, 5.427450, 43.009248
185.518036, 101.966980, 83.551056, 147.000000, 82.000000, 4.634627, 26.793524
186.474014, 103.623566, 82.850449, 156.000000, 100.000000, 5.577168, 45.462959
192.293594, 105.323830, 86.969765, 135.000000, 101.000000, 5.670806, 45.493254
